commited couples

1. guy's name : bolgqbmxvh      girl's name: pfiakvwgio
gifts are 
1 value: 6,  price: 118, type: instance
2 value: 0,  price: 110, type: instance

2. guy's name : rotqijxawp      girl's name: xckracujag
gifts are 
1 value: 4,  price: 30, type: instance
2 value: 9,  price: 30, type: instance
3 value: 9,  price: 30, type: instance
4 value: 7,  price: 30, type: instance
5 value: 6,  price: 30, type: instance
6 value: 2,  price: 30, type: instance
7 value: 8,  price: 30, type: instance
8 value: 5,  price: 30, type: instance
9 value: 9,  price: 38, type: instance
10 value: 9,  price: 38, type: instance
11 value: 9,  price: 38, type: instance
12 value: 5,  price: 38, type: instance
13 value: 0,  price: 38, type: instance
14 value: 9,  price: 38, type: instance
15 value: 2,  price: 38, type: instance
16 value: 0,  price: 38, type: instance

3. guy's name : nqzlayyccm      girl's name: npfzcgrfed
gifts are 
1 value: 1,  price: 30, type: instance
2 value: 5,  price: 30, type: instance
3 value: 5,  price: 30, type: instance
4 value: 2,  price: 30, type: instance
5 value: 2,  price: 38, type: instance
6 value: 9,  price: 38, type: instance
7 value: 4,  price: 38, type: instance
8 value: 6,  price: 46, type: instance
9 value: 0,  price: 46, type: instance
10 value: 8,  price: 46, type: instance
11 value: 7,  price: 46, type: instance
12 value: 9,  price: 54, type: instance
13 value: 8,  price: 54, type: instance
14 value: 4,  price: 54, type: instance

4. guy's name : gacnfwxnbp      girl's name: vbazhaubdc
gifts are 
1 value: 4,  price: 118, type: instance

